Código de la Institución,IES PADRE,Institución de Educación Superior (IES),Principal oSeccional,Id_Sector,Id_Caracter,Código del departamento(IES),Departamento de domicilio de la IES,Código del Municipio(IES),Municipio dedomicilio de la IES,Código SNIES delprograma,Programa Académico,Id_Nivel,Id_Nivel_Formacion,Id_Metodologia,Id_Area,Núcleo Básico del Conocimiento (NBC),Código del Departamento(Programa),Departamento de oferta del programa,Código del Municipio(Programa),Municipio de oferta del programa,Id Género,Año,Semestre,Total Matriculados
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,595,MATEMATICAS,1,6,1,9,MATEMATICAS ESTADISTICA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,108
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,596,QUIMICA,1,6,1,9,QUIMICA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,147
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,596,QUIMICA,1,6,1,9,QUIMICA Y AFINES,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,157
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,599,ESPECIALIZACION EN ANESTESIOLOGIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,5
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,599,ESPECIALIZACION EN ANESTESIOLOGIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,13
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,600,ESPECIALIZACION EN CARDIOLOGIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,2
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,600,ESPECIALIZACION EN CARDIOLOGIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,2
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,601,ESPECIALIZACION EN CIRUGIA GENERAL,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,8
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,601,ESPECIALIZACION EN CIRUGIA GENERAL,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,8
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,602,ESPECIALIZACION EN DERMATOLOGIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,9
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,602,ESPECIALIZACION EN DERMATOLOGIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,3
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,603,ESPECIALIZACION EN GINECOLOGIA Y OBSTETRICIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,16
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,603,ESPECIALIZACION EN GINECOLOGIA Y OBSTETRICIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,4
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,604,ESPECIALIZACION EN MEDICINA FISICA Y REHABILITACION,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,5
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,604,ESPECIALIZACION EN MEDICINA FISICA Y REHABILITACION,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,3
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,605,ESPECIALIZACION EN MEDICINA INTERNA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,6
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,605,ESPECIALIZACION EN MEDICINA INTERNA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,12
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,606,ESPECIALIZACION EN NEFROLOGIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,3
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,606,ESPECIALIZACION EN NEFROLOGIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,3
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,607,ESPECIALIZACION EN NEUROCIRUGIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,1
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,607,ESPECIALIZACION EN NEUROCIRUGIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,4
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,608,ESPECIALIZACION EN OFTALMOLOGIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,4
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,608,ESPECIALIZACION EN OFTALMOLOGIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,4
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,609,ESPECIALIZACION EN ORTOPEDIA Y TRAUMATOLOGIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,12
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,610,ESPECIALIZACION EN OTORRINOLARINGOLOGIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,6
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,610,ESPECIALIZACION EN OTORRINOLARINGOLOGIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,3
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,611,ESPECIALIZACION EN PEDIATRIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,14
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,611,ESPECIALIZACION EN PEDIATRIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,10
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,612,ESPECIALIZACION EN PSIQUIATRIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,4
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,612,ESPECIALIZACION EN PSIQUIATRIA,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,6
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,613,ESPECIALIZACION EN RADIODIAGNOSTICO,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,2,2015,1,3
1203,1203,UNIVERSIDAD DEL VALLE,PRINCIPAL,1,4,76,VALLE DEL CAUCA,76001,CALI,613,ESPECIALIZACION EN RADIODIAGNOSTICO,2,1,1,4,MEDICINA,76,VALLE DEL CAUCA,76001,CALI,1,2015,1,3
